reservoir,max_depth,n_estimators,KGE
ResOpsUS_1742,8,800,0.815109305470254
ResOpsUS_1617,4,200,0.6810021339474557
ResOpsUS_1617,4,400,0.672743391451353
ResOpsUS_1617,4,800,0.6671487871849087
ResOpsUS_1617,6,200,0.6737224093840681
ResOpsUS_1617,6,400,0.6705945027768891
ResOpsUS_1617,6,800,0.6741519435947927
ResOpsUS_1617,8,200,0.6667967596953897
ResOpsUS_1617,8,400,0.6681327681439662
ResOpsUS_1617,8,800,0.6694173063659457
ResOpsUS_182,4,200,0.9107403489783044
ResOpsUS_182,4,400,0.914415352110819
ResOpsUS_182,4,800,0.9135757581809985
ResOpsUS_182,6,200,0.8778222361472241
ResOpsUS_182,6,400,0.8790377468354804
ResOpsUS_182,6,800,0.8789680027444379
ResOpsUS_182,8,200,0.8791713745105907
ResOpsUS_182,8,400,0.8804074111213873
ResOpsUS_182,8,800,0.8801622134907449
ResOpsUS_442,4,200,0.9559916621995472
ResOpsUS_442,4,400,0.9690636963474556
ResOpsUS_442,4,800,0.9589709971883972
ResOpsUS_442,6,200,0.953338411318236
ResOpsUS_442,6,400,0.9618282716881776
ResOpsUS_442,6,800,0.9630221857126892
ResOpsUS_442,8,200,0.9260630422269174
ResOpsUS_442,8,400,0.9303394084543852
ResOpsUS_442,8,800,0.93238260220372
ResOpsUS_338,4,200,0.8895503721244691
ResOpsUS_338,4,400,0.8987833714943159
ResOpsUS_338,4,800,0.9061343424076012
ResOpsUS_338,6,200,0.9022161475594156
ResOpsUS_338,6,400,0.9074947589201484
ResOpsUS_338,6,800,0.910808172565584
ResOpsUS_338,8,200,0.8867846362295737
ResOpsUS_338,8,400,0.8889153063671872
ResOpsUS_338,8,800,0.8908726867993362
ResOpsUS_919,4,200,0.7111817448527327
ResOpsUS_919,4,400,0.7019784499078745
ResOpsUS_919,4,800,0.6981491356093856
ResOpsUS_919,6,200,0.7256439188368233
ResOpsUS_919,6,400,0.7224916266893873
ResOpsUS_919,6,800,0.7216832392620993
ResOpsUS_919,8,200,0.736321191079484
ResOpsUS_919,8,400,0.7342631834086912
ResOpsUS_919,8,800,0.7337842080683544
ResOpsUS_592,4,200,0.9346629184442584
ResOpsUS_592,4,400,0.9433367010678994
ResOpsUS_592,4,800,0.941940902021701
ResOpsUS_592,6,200,0.898113147682812
ResOpsUS_592,6,400,0.8983251385897435
ResOpsUS_592,6,800,0.8974235879413426
ResOpsUS_592,8,200,0.8889678665620007
ResOpsUS_592,8,400,0.8880251250524747
ResOpsUS_592,8,800,0.8874489426222226
ResOpsUS_533,4,200,0.9801193830300404
ResOpsUS_533,4,400,0.9825239564355508
ResOpsUS_533,4,800,0.9838229726791914
ResOpsUS_533,6,200,0.9782245476669448
ResOpsUS_533,6,400,0.9788869354601996
ResOpsUS_533,6,800,0.9788077919594956
ResOpsUS_533,8,200,0.9736478419932788
ResOpsUS_533,8,400,0.9734750777067006
ResOpsUS_533,8,800,0.9733758482102516
ResOpsUS_168,4,200,0.7854381140412919
ResOpsUS_168,4,400,0.7808657758659965
ResOpsUS_168,4,800,0.7787853728151526
ResOpsUS_168,6,200,0.7761101064964611
ResOpsUS_168,6,400,0.7747292291920301
ResOpsUS_168,6,800,0.7738914458908708
ResOpsUS_168,8,200,0.7757627230504704
ResOpsUS_168,8,400,0.774275967498882
ResOpsUS_168,8,800,0.7738753542486867
ResOpsUS_1109,4,200,0.8815756697609675
ResOpsUS_1109,4,400,0.8766549529140594
ResOpsUS_1109,4,800,0.8769554408442051
ResOpsUS_1109,6,200,0.8915571012902153
ResOpsUS_1109,6,400,0.8936376328458326
ResOpsUS_1109,6,800,0.8933445794120388
ResOpsUS_1109,8,200,0.8912814340392121
ResOpsUS_1109,8,400,0.8922019454679896
ResOpsUS_1109,8,800,0.8923517159160271
ResOpsUS_111,4,200,0.919377113068248
ResOpsUS_111,4,400,0.9489386520029008
ResOpsUS_111,4,800,0.9495860368371069
ResOpsUS_111,6,200,0.8558789291278075
ResOpsUS_111,6,400,0.8568515525280533
ResOpsUS_111,6,800,0.8564438391831438
